"Analysis_Type","Comparison","Species","Average_Dissimilarity","Standard_Deviation","Ratio","Average_Abundance_Group1","Average_Abundance_Group2","Cumulative_Contribution","P_value"
"Season","Wet_Dry","Cerithium atratum",0.101733550933621,0.136707277402784,0.744170704489129,15.8666666666667,11.0666666666667,0.112899303153402,0.9873
"Season","Wet_Dry","Bittiolum varium",0.0900393145573374,0.0799397481344106,1.12633973284411,29.8,5.73333333333333,0.212820870587592,0.0224
"Season","Wet_Dry","Eulithidium affine",0.0898251079488437,0.186770251205476,0.480939054100334,105.8,19.5333333333333,0.312504721195742,0.9893
"Season","Wet_Dry","Vitta virginea",0.0733541420637637,0.144325496352021,0.508254909339423,21.2,4.8,0.393909837270165,0.4327
"Season","Wet_Dry","Schwartziella bryerea",0.0601343738512722,0.0635339944285714,0.946491313699451,21.8,4.2,0.460644251247365,0.0216
"Season","Wet_Dry","Olivella minuta",0.0349645260204634,0.0882062171392877,0.396395255963085,2.6,2.93333333333333,0.499446304125426,0.9648
"Season","Wet_Dry","Stosicia aberrans",0.0275161100157194,0.061763202060625,0.445509771153225,1.33333333333333,1.26666666666667,0.529982441100474,0.3225
"Season","Wet_Dry","Turbonilla rushi",0.0254729009692207,0.0325566918229086,0.782416748844752,5.8,2.46666666666667,0.558251116894531,0.9274
"Season","Wet_Dry","Costoanachis sertulariarum",0.0202261925704178,0.0209624380676607,0.964877868935543,4.86666666666667,1.26666666666667,0.580697232514113,0.3393
"Season","Wet_Dry","Eulithidium bellum",0.0201648379846101,0.032950666573417,0.611970563317167,12.4,1.93333333333333,0.603075259583562,0.7084
"Season","Wet_Dry","Solariorbis schumoi",0.0200125734178638,0.0729492355395186,0.274335615306379,1.4,0.8,0.625284310309191,0.8426
"Season","Wet_Dry","Phrontis polygonata",0.0190348074866854,0.0464313229451546,0.409956173533319,0.933333333333333,0.733333333333333,0.64640828053518,0.8657
"Season","Wet_Dry","Barleeia rubrooperculata",0.0168904276733952,0.0375843971040115,0.449399989752462,2.66666666666667,1,0.665152514829464,0.8967
"Season","Wet_Dry","Boonea jadisi",0.0163145301323967,0.035578909922653,0.458544968574467,5.2,0.6,0.683257644025481,0.0364
"Season","Wet_Dry","Turbonilla fasciata",0.016292134393258,0.0468971154760906,0.347401630737058,1.4,1,0.701337919441018,0.8287
"Season","Wet_Dry","Anachis isabellei",0.0144422504308949,0.0216424308256394,0.667311844369413,2.8,0.0666666666666667,0.717365277128344,0.0012
"Season","Wet_Dry","Peristichia agria",0.0128056377335895,0.0297365335672586,0.430636533495927,4.73333333333333,0,0.731576395911571,0.0196
