ESPÉCIE,C5A,C6A,C7A,C8A,C9A,C10A,N1A,N2A,N3A,N4A,S1A,S2A,S3A,S4A,S5A,C5O,C6O,C7O,C8O,C9O,C10O,N1O,N2O,N3O,N4O,S1O,S2O,S3O,S4O,S5O
Isellica anomala,3,2,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Heliacus bisulcatus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barlleia sp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Barleeia rubrooperculata,25,0,0,0,0,4,4,1,5,0,0,1,0,0,0,0,0,0,0,1,0,0,6,8,0,0,0,0,0,0
Pseudodiala puncturina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pisania pusio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Bulla striata,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caecum jucundum,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bittiolum varium,104,26,0,13,0,49,3,5,36,0,142,45,2,2,20,15,40,0,1,0,0,0,0,0,0,30,0,0,0,0
Cerithium atratum,0,67,4,19,0,17,0,0,16,0,58,50,0,1,6,23,33,0,2,1,52,0,0,2,0,1,45,5,2,0
Cerithiopsis cynthiae,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerithiopsis emersoni,5,2,0,3,0,7,2,3,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cerithiopsis gemmulosa,0,4,0,0,1,4,1,1,0,0,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Cerithiopsis lata,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seila adamsii,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0
Mirachelus clinocnemus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Amphissa cancelata,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anachis coseli,0,0,0,0,0,0,0,3,6,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Anachis isabellei,2,0,0,0,1,5,5,1,12,0,9,3,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Anachis obesa,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Costoanachis sertulariarum,19,2,1,14,0,5,0,4,0,0,17,7,0,2,2,1,7,0,0,0,0,1,2,6,0,0,0,2,0,0
Anachis sp,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anachis sp 2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astyris lunata,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costoanachis sparsa,0,1,0,0,0,0,2,0,0,0,8,0,0,0,9,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
Mitrella dichoroa,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitrella ocelata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitrella sp,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nassarina thetys,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parvanachis obesa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Steironepio minus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Conus hencksi,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Vexillum pulchellum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Vexillum sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Acteocina bullata,4,1,0,1,0,0,2,0,6,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Cylichna discus,5,2,0,7,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Macrocypraea zebra,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Finella dubia,9,5,0,35,0,0,0,0,0,0,20,2,0,0,0,0,5,0,0,0,0,0,0,1,0,4,0,0,0,0
Elachisina floridana,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melampus caffea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Epitonium angulatum,2,2,0,1,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Melanela arcuata,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melanela breviuscula,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melanela polita,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fusinus srigatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleuroploca aurantiaca,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0
Polygona ogum,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diadora sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fissurella nimbosa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atys guildingi,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaba incerta ,0,1,0,0,0,0,0,0,3,0,115,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11,0,0,0,0
Alaba sp,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
Littorina angulifera,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Littorina flava ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Littorina laceolata,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Littoraria sp,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granulina ovuliformis,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volvarina brasiliana,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Volvarina gracilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pugilina morio,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Attiliosa sp,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Siratus carolinae,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Siratus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Phrontis polygonata,0,1,0,0,0,0,0,6,2,0,0,0,1,2,2,0,0,0,1,0,0,1,6,0,1,0,0,0,0,2
Natica  pusilla,5,0,0,0,0,1,1,0,4,0,5,0,0,1,1,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0
Vitta virginea,7,33,1,16,0,2,0,2,247,0,0,10,0,0,0,3,27,0,2,0,6,0,1,30,0,0,3,0,0,0
Smaragdia viridis,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Olivella floralia,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Olivella minuta,15,0,0,0,0,0,15,3,0,0,2,4,0,0,0,12,0,0,0,0,0,28,0,0,0,0,0,4,0,0
Olivella mutica,0,0,0,2,0,0,10,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Olivella watermami,1,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Olivella sp2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eulithidium affine,31,0,0,0,0,0,6,3,1,0,1544,2,0,0,0,0,0,0,0,0,0,9,0,7,0,276,0,0,1,0
Eulithidium bellum,56,1,0,0,0,1,0,0,0,0,127,1,0,0,0,4,7,0,0,0,0,0,0,4,1,12,0,0,1,0
Boonea jadisi,2,4,0,0,0,27,0,0,0,0,24,21,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
Boonea seminuda,1,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Eulimastoma canaliculatum,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Odostomia laevigata,1,0,0,2,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Oscilla tricordata,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peristichia agria,22,1,0,39,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyramidella crenulata,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Turbonilla fasciata,0,0,0,4,0,14,0,0,0,0,0,0,0,0,3,0,6,0,2,5,2,0,0,0,0,0,0,0,0,0
Turbonilla fluminensis,0,0,0,0,0,3,0,0,2,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turbonilla krebsii,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turbonilla multicostata,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turbonilla pusilla,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turbonilla rachialis,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turbonilla rushi,38,4,0,19,0,7,0,0,6,0,6,4,0,0,3,13,11,1,0,0,2,0,0,10,0,0,0,0,0,0
Turbonilla sp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turbonilla uruguayesis,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zebina browniana,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
