environment,sampling_points,season,temperature,salinity,pH,dissolved_o2,suspended_solids,sediment_particle_size
Serinhaem,N1,Wet,,,,,,
Serinhaem,N2,Wet,,,,,,
Serinhaem,N3,Wet,,,,,,
Serinhaem,N4,Wet,,,,,,
Sorojo,C5,Wet,,,,,,
Sorojo,C6,Wet,,,,,,
Sorojo,C7,Wet,,,,,,
Sorojo,C8,Wet,,,,,,
Sorojo,C9,Wet,,,,,,
Sorojo,C10,Wet,,,,,,
Marau,S1,Wet,,,,,,
Marau,S2,Wet,,,,,,
Marau,S3,Wet,,,,,,
Marau,S4,Wet,,,,,,
Marau,S5,Wet,,,,,,
Serinhaem,N1,Dry,,,,,,
Serinhaem,N2,Dry,,,,,,
Serinhaem,N3,Dry,,,,,,
Serinhaem,N4,Dry,,,,,,
Sorojo,C5,Dry,,,,,,
Sorojo,C6,Dry,,,,,,
Sorojo,C7,Dry,,,,,,
Sorojo,C8,Dry,,,,,,
Sorojo,C9,Dry,,,,,,
Sorojo,C10,Dry,,,,,,
Marau,S1,Dry,,,,,,
Marau,S2,Dry,,,,,,
Marau,S3,Dry,,,,,,
Marau,S4,Dry,,,,,,
Marau,S5,Dry,,,,,,
