"Analysis_Type","Comparison","Species","Average_Dissimilarity","Standard_Deviation","Ratio","Average_Abundance_Group1","Average_Abundance_Group2","Cumulative_Contribution","P_value"
"River_Basin","Sorojo_Serinhaem","Vitta virginea",0.111793470922869,0.169303989791294,0.660312087510049,8.08333333333333,35,0.121481738477841,0.0374
"River_Basin","Sorojo_Serinhaem","Cerithium atratum",0.102355944151668,0.132890988456223,0.770224868824618,18.1666666666667,2.25,0.232708073400964,0.6396
"River_Basin","Sorojo_Serinhaem","Bittiolum varium",0.0792395565188173,0.0812867951035816,0.974814622938995,20.6666666666667,5.5,0.318814703803025,0.6141
"River_Basin","Sorojo_Serinhaem","Olivella minuta",0.0573958497877735,0.124209014607823,0.462090855232969,2.25,5.75,0.381184603906067,0.1402
"River_Basin","Sorojo_Serinhaem","Schwartziella bryerea",0.044621439986696,0.0505420632684771,0.882857507214714,11,1.5,0.429673035817341,0.8586
"River_Basin","Sorojo_Serinhaem","Solariorbis schumoi",0.0345451739662593,0.104335002286176,0.331098607459716,1.41666666666667,1.5,0.467211970379414,0.2084
"River_Basin","Sorojo_Serinhaem","Turbonilla rushi",0.0337504223244173,0.0356014555304303,0.948006811001566,7.91666666666667,2,0.503887278378039,0.0915
"River_Basin","Sorojo_Serinhaem","Eulithidium affine",0.0292613032589172,0.0417030316099593,0.701658899347958,2.58333333333333,3.25,0.535684430400209,0.906
"River_Basin","Sorojo_Serinhaem","Barleeia rubrooperculata",0.0288227058791716,0.050313644136165,0.57286063003443,2.5,3,0.56700497523107,0.0456
"River_Basin","Sorojo_Serinhaem","Stosicia aberrans",0.0286600915638821,0.061350476793799,0.467153526128405,2.08333333333333,0.625,0.598148813233171,0.4559
"River_Basin","Sorojo_Serinhaem","Phrontis polygonata",0.0255880662174288,0.0541036478823836,0.472945304410064,0.166666666666667,2,0.625954397429802,0.2511
"River_Basin","Sorojo_Serinhaem","Turbonilla fasciata",0.0229016581151177,0.0495288340171206,0.462390414989404,2.75,0,0.650840763501834,0.278
"River_Basin","Sorojo_Serinhaem","Costoanachis sertulariarum",0.0222126273737603,0.0225923578131851,0.98319208457281,4.08333333333333,1.625,0.674978385916176,0.2352
"River_Basin","Sorojo_Serinhaem","Rissoina catesbyana",0.0210709340827644,0.0615618980631397,0.342272326645183,0,4.125,0.69787537339313,0.1823
"River_Basin","Sorojo_Serinhaem","Eulithidium bellum",0.019062117618079,0.0332801208912124,0.572777895861322,5.75,0.625,0.71858945596161,0.6191
"River_Basin","Sorojo_Serinhaem","Peristichia agria",0.0153052347155972,0.0314804965950094,0.486181489208893,5.75,0,0.735221075909657,0.2632
"River_Basin","Sorojo_Serinhaem","Finella dubia",0.0133102715018148,0.026605553454785,0.500281699624668,4.5,0.125,0.749684844753261,0.3629
"River_Basin","Sorojo_Serinhaem","Anachis isabellei",0.0116470829407928,0.0183134936059069,0.635983673646851,0.666666666666667,2.25,0.762341289464771,0.4036
"River_Basin","Sorojo_Serinhaem","Triphora pulchella",0.0114690135052279,0.016817939693835,0.681951161320437,1.5,1,0.774804232852602,0.1836
"River_Basin","Sorojo_Serinhaem","Boonea jadisi",0.010857216189413,0.031607676819826,0.343499341989058,2.75,0,0.786602359226455,0.73
"River_Basin","Sorojo_Serinhaem","Pyrgocythara caribaea",0.00946478434083641,0.0291031140820274,0.325215518660987,0.333333333333333,0.5,0.796887382551618,0.4062
"River_Basin","Sorojo_Serinhaem","Cerithiopsis emersoni",0.00846896581958936,0.0133288008655318,0.635388427288315,1.41666666666667,0.625,0.806090287536856,0.6259
"River_Basin","Sorojo_Serinhaem","Olivella mutica",0.00775483269701042,0.0208525248662382,0.371889387340623,0.25,1.25,0.81451717105573,0.1847
"River_Basin","Sorojo_Serinhaem","Cerithiopsis gemmulosa",0.00680050562769258,0.0156910762153441,0.433399566375342,0.75,0.25,0.821907023426898,0.5996
"River_Basin","Sorojo_Serinhaem","Triphora nigrocincta",0.00673995972035805,0.0116956556057741,0.576278914798976,1.5,0.125,0.829231082849515,0.5577
"River_Basin","Sorojo_Serinhaem","Siliquaria squamata (Tenagodus squamatus)",0.00569954663153415,0.0168826636397054,0.337597594382542,0,1,0.835424564701527,0.1778
"River_Basin","Sorojo_Serinhaem","Olivella watermami",0.00563988304117621,0.01245044898432,0.452986317865245,1.08333333333333,0,0.841553212385492,0.2645
"River_Basin","Sorojo_Serinhaem","Siratus carolinae",0.00556852909368739,0.0187740878221407,0.296607171887217,0,0.5,0.84760432243227,0.1712
"River_Basin","Sorojo_Serinhaem","Anachis coseli",0.00528533388471415,0.0122007483152862,0.433197517736857,0,1.125,0.853347694951707,0.1666
"River_Basin","Sorojo_Serinhaem","Cylichna discus",0.0050676640736696,0.00677383721139046,0.748123097075338,1.5,0,0.858854533916532,0.4581
"River_Basin","Sorojo_Serinhaem","Pilsbryspira zebroides",0.00496813509898017,0.0110144035623658,0.451058023328232,0.583333333333333,0,0.864253218507275,0.6626
"River_Basin","Sorojo_Serinhaem","Triphora turristhomae",0.00471793656743132,0.0160826556828821,0.293355566422587,1.75,0,0.869380021812587,0.3931
"River_Basin","Sorojo_Serinhaem","Littoraria sp",0.00452000543755443,0.018897284205878,0.239188096464596,0.0833333333333333,0.125,0.874291740841888,0.1463
"River_Basin","Sorojo_Serinhaem","Isellica anomala",0.0045030030657921,0.0101396610586948,0.444097987075294,0.916666666666667,0,0.879184984036572,0.2964
"River_Basin","Sorojo_Serinhaem","Littorina angulifera",0.00439642492419176,0.0189200028601952,0.232369146911768,0,0.125,0.883962412793987,0.7077
"River_Basin","Sorojo_Serinhaem","Littorina flava ",0.00439642492419176,0.0189200028601952,0.232369146911768,0,0.125,0.888739841551401,0.1467
"River_Basin","Sorojo_Serinhaem","Ciclosyremiscus caraboboensis",0.00439642492419176,0.0189200028601952,0.232369146911768,0,0.125,0.893517270308816,0.1467
"River_Basin","Sorojo_Serinhaem","Acteocina bullata",0.00414808531920392,0.00548860104308589,0.755763679422346,0.583333333333333,1,0.898024837806018,0.4519
"River_Basin","Sorojo_Serinhaem","Natica  pusilla",0.00386287989077926,0.00482033203404344,0.801372159323838,0.5,0.875,0.902222483346398,0.672
